配比,刀数,异常率统计,异常率估计
"{'柠檬酸添加比例': 0.0, '置换量': 0.04, '离子液添加量': 0.06, '原液添加比例': 0.62}",1096,0.14233576642335766,0.1878336635281381
"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.62}",201,0.13432835820895522,0.1890406494517967
"{'柠檬酸添加比例': 0.0, '置换量': 0.0451, '离子液添加量': 0.06, '原液添加比例': 0.64}",732,0.2103825136612022,0.2013829767154644
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",170,0.18235294117647058,0.1939141428886155
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.62}",264,0.19696969696969696,0.19091611468335778
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.67}",1070,0.18037383177570093,0.19652222013103113
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.06, '原液添加比例': 0.73}",2022,0.22106824925816024,0.2034293104488294
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.07, '原液添加比例': 0.73}",222,0.25225225225225223,0.2056822596970521
"{'柠檬酸添加比例': 0.0, '置换量': 0.05, '离子液添加量': 0.07, '原液添加比例': 0.91}",1488,0.24126344086021506,0.19809689842510522
"{'柠檬酸添加比例': 0.0, '置换量': 0.0547, '离子液添加量': 0.06, '原液添加比例': 0.62}",57,0.19298245614035087,0.18832632832739646
"{'柠檬酸添加比例': 0.0, '置换量': 0.0547, '离子液添加量': 0.07, '原液添加比例': 0.82}",178,0.1797752808988764,0.20518136645175153
"{'柠檬酸添加比例': 0.0, '置换量': 0.06, '离子液添加量': 0.07, '原液添加比例': 0.85}",841,0.23067776456599287,0.20571067360924034
"{'柠檬酸添加比例': 0.0, '置换量': 0.06, '离子液添加量': 0.07, '原液添加比例': 0.91}",886,0.23702031602708803,0.20177977526253643
"{'柠檬酸添加比例': 0.91, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",308,0.19480519480519481,0.18773057454664266
"{'柠檬酸添加比例': 0.91, '置换量': 0.0547, '离子液添加量': 0.0, '原液添加比例': 0.62}",48,0.20833333333333334,0.19209661237355613
"{'柠檬酸添加比例': 1.45, '置换量': 0.06, '离子液添加量': 0.0, '原液添加比例': 0.91}",622,0.18810289389067525,0.2016575745917355
"{'柠檬酸添加比例': 1.82, '置换量': 0.05, '离子液添加量': 0.0, '原液添加比例': 0.67}",56,0.21428571428571427,0.18625352499449727
"{'柠檬酸添加比例': 1.82, '置换量': 0.06, '离子液添加量': 0.0, '原液添加比例': 0.91}",16,0.0,0.19966201449699614
